,el_kWh,Qh_40_kWh,Qh_60_kWh,Qc_kWh
575,390.619,0,69.291,0
576,388.02,0,29.053,0
577,388.013,0,18.197,0
578,388.008,0,20.659,0
579,388.008,0,20.659,0
580,388.009,0,15.963,0
581,435.193,0,125.392,0
582,731.953,668.749,327.515,0
583,1017.865,2934.114,335.056,0
584,1525.362,2585.342,364.13,0
585,1857.459,2374.199,389.29,0
586,2152.87,2045.126,369.657,0
587,1835.993,1919.327,326.785,0
588,1470.779,1587.701,313.097,0
589,1584.273,1617.453,341.729,0
590,2152.261,1434.245,321.135,0
591,1839.308,1426.633,277.535,0
592,1613.509,1409.529,242.105,0
593,1024.903,1354.251,248.743,0
594,1056.433,282.862,288.125,0
595,1150.23,180.563,288.093,0
596,451.272,543.452,231.503,0
597,446.131,0,182.906,0
598,445.608,0,96.318,0
599,390.605,0,69.188,0
600,388.02,0,29.005,0
601,388.013,0,18.163,0
602,388.008,0,20.612,0
603,388.008,0,20.648,0
604,388.009,0,15.971,0
605,435.072,0,125.438,0
606,737.559,680.916,327.632,0
607,1019.757,2639.11,335.162,0
608,1527.661,2342.242,364.322,0
609,1855.015,1904.16,389.193,0
610,2155.047,1469.747,369.354,0
611,1833.827,1275.972,326.359,0
612,1472.368,960.41,312.657,0
613,1585.213,1031.541,341.234,0
614,2153.605,894.84,320.666,0
615,1833.531,933.66,277.17,0
616,1611.111,977.173,241.802,0
617,1020.416,1075.243,248.633,0
618,1046.278,249.277,288.054,0
619,1146.182,154.446,288.077,0
620,451.328,522.134,231.513,0
621,446.572,0,182.949,0
622,446.2,0,96.363,0
623,390.52,0,69.238,0
624,388.02,0,29.033,0
625,388.013,0,18.182,0
626,388.008,0,20.634,0
627,388.008,0,20.662,0
628,388.009,0,15.971,0
629,435.601,0,125.428,0
630,722.144,673.172,327.609,0
631,1015.647,2406.269,335.139,0
632,1525.786,2131.491,364.266,0
633,1854.812,1757.061,389.107,0
634,2152.516,1297.175,369.186,0
635,1836.734,1099.924,326.136,0
636,1475.746,738.99,312.374,0
637,1589.79,763.651,340.786,0
638,2155.105,620.796,320.113,0
639,1835.427,676.863,276.691,0
640,1609.748,734.942,241.424,0
641,1020.421,862.006,248.316,0
642,1049.747,164.806,287.712,0
643,1143.433,76.041,287.728,0
644,450.791,437.747,231.236,0
645,446.033,0,182.686,0
646,445.979,0,96.198,0
647,390.676,0,69.1,0
648,388.02,0,28.942,0
649,388.013,0,18.088,0
650,388.008,0,20.417,0
651,388.008,0,20.445,0
652,388.009,0,15.843,0
653,434.879,0,125.236,0
654,721.562,516.491,327.227,0
655,1014.434,1813.295,334.481,0
656,1518.003,1639.881,363.806,0
657,1850.859,1509.454,388.937,0
658,2153.412,1251.42,369.283,0
659,1829.734,1088.134,326.308,0
660,1475.046,829.259,312.652,0
661,1585.966,915.721,341.209,0
662,2150.225,681.117,320.452,0
663,1834.022,670.208,276.843,0
664,1605.878,684.52,241.451,0
665,1017.219,812.102,248.276,0
666,1057.174,139.011,287.674,0
667,1147.809,59.004,287.674,0
668,451.772,412.487,231.19,0
669,446.745,0,182.64,0
670,446.125,0,96.167,0
671,390.563,0,69.075,0
672,388.02,0,28.061,0
673,388.02,0,30.631,0
674,388.016,0,20.819,0
675,388.008,0,16.196,0
676,388.008,0,16.207,0
677,435.171,0,35.891,0
678,723.427,436.368,93.424,0
679,760.935,665.881,195.133,0
680,715.944,685.739,322.901,0
681,717.283,615.456,327.218,0
682,717.739,556.962,301.986,0
683,718.309,532.334,340.667,0
684,1068.596,72.712,329.225,0
685,776.706,362.328,293.175,0
686,718.593,448.358,224.472,0
687,717.552,464.944,191.13,0
688,714.735,465.249,233.989,0
689,760.266,381.693,299.907,0
690,1047.929,107.604,363.95,0
691,1146.917,30.72,287.967,0
692,450.816,369.503,172.122,0
693,445.953,0,173.221,0
694,446.009,0,123.789,0
695,390.534,0,67.198,0
696,388.023,0,36.21,0
697,388.019,0,27.599,0
698,388.016,0,22.204,0
699,388.008,0,15.817,0
700,388.008,0,15.833,0
701,435.452,0,22.219,0
702,727.626,352.191,63.183,0
703,440.73,597.751,145.885,0
704,392.197,629.396,229.235,0
705,392.234,612.377,301.695,0
706,392.247,579.741,329.405,0
707,392.253,551.395,337.022,0
708,736.401,159.081,265.974,0
709,445.34,419.287,256.924,0
710,392.195,470.55,215.362,0
711,392.181,481.038,193.829,0
712,392.145,474.038,118.497,0
713,442.359,382.602,188.404,0
714,723.344,112.632,250.763,0
715,819.296,33.667,269.266,0
716,438.981,392.125,152.301,0
717,435.148,0,133.162,0
718,435.241,0,123.964,0
719,388.032,0,60.236,0
720,388.02,0,28.905,0
721,388.013,0,18.05,0
722,388.008,0,20.315,0
723,388.008,0,20.332,0
724,388.009,0,15.768,0
725,435.358,0,125.121,0
726,727.537,415.654,326.997,0
727,1020.755,3426.056,347.097,0
728,1527.53,2936.972,363.545,0
729,1857.143,2569.269,388.625,0
730,2150.281,2115.377,368.992,0
731,1835.853,1956.994,326.153,0
732,1472.425,1670.669,312.497,0
733,1589.308,1595.266,341.043,0
734,2153.436,1332.848,320.429,0
735,1834.489,1323.27,276.91,0
736,1603.73,1283.074,241.508,0
737,1021.328,1311.023,248.265,0
738,1055.075,119.422,287.645,0
739,1150.942,38.58,287.635,0
740,451.861,389.26,231.142,0
741,446.765,0,182.595,0
742,445.352,0,96.129,0
743,390.535,0,69.04,0
744,388.02,0,28.891,0
745,388.013,0,18.025,0
746,388.008,0,20.251,0
747,388.008,0,20.261,0
748,388.009,0,15.723,0
749,435.456,0,125.037,0
750,736.438,355.343,326.8,0
751,984.731,2059.58,327.136,0
752,1472.281,1678.564,351.417,0
753,1777.675,1394.716,369.458,0
754,2050.542,1100.022,349.74,0
755,1756.614,989.651,311.922,0
756,1458.138,653.686,307.124,0
757,1528.548,675.141,328.506,0
758,2051.652,545.59,300.943,0
759,1757.918,592.174,259.384,0
760,1531.81,607.891,230.51,0
761,984.998,685.72,244.218,0
762,1035.219,32.32,287.166,0
763,1123.957,2.36,287.192,0
764,449.316,282.589,230.844,0
765,445.506,0,182.357,0
766,444.915,0,96.009,0
767,390.619,0,68.954,0
768,388.02,0,28.852,0
769,388.013,0,17.996,0
770,388.008,0,20.223,0
771,388.008,0,20.257,0
772,388.009,0,15.734,0
773,435.095,0,125.091,0
774,729.979,347.264,326.975,0
775,983.486,1585.249,327.255,0
776,1470.914,1411.708,351.718,0
777,1780.003,1251.964,369.907,0
778,2049.152,1043.295,350.302,0
